Match,Team_Name,Match_Result,Player_Name,Hero_Name,Lane,Kill,Death,Assist,Net Worth,Last_Hit,GPM,XPM,DMG,Item1,Time1,Item2,Time2,Item3,Time3,Item4,Time4,Item5,Time5,Item6,Time6
1,Team Secret,0,Secret.Puppey,Omniknight,Safe Lane,-,6,8,5.2,40,258,313,7.8,Boots of Speed,10.0,Magic Wand,15.0,Bracer,15.0,Bracer,18.0,Ogre Axe,29.0,Point Booster,36.0
1,Team Secret,0,Secret.YapzOr,Lion,Off Lane,1,8,7,7.9,56,265,325,8.1,Tranquil Boots,6.0,Aether Lens,17.0,Sentry Ward,18.0,Cloak,24.0,Point Booster,30.0,Ogre Axe,34.0
1,Team Secret,0,Secret.Nisha,Templar Assassin,Mid Lane,5,5,9,21.9,440,631,720,40.9,Power Treads,7.0,Desolator,13.0,Blink Dagger,18.0,Hurricane Pike,24.0,Daedalus,31.0,Monkey King Bar,36.0
1,Team Secret,0,Secret.zai,Axe,Off Lane,5,11,5,10.2,141,323,343,16.9,Stout Shield,0.0,Magic Wand,5.0,Blink Dagger,13.0,Phase Boots,16.0,Blade Mail,24.0,Shadow Blade,36.0
1,Team Secret,0,Secret.MidOne,Ember Spirit,Safe Lane,4,7,6,16.9,287,487,506,38.2,Phase Boots,9.0,Magic Wand,9.0,Drum of Endurance,16.0,Maelstrom,22.0,Octarine Core,32.0,Platemail,36.0
2,Team Secret,0,Secret.Puppey,Shadow Demon,Off Lane,4,8,9,2.5,17,212,289,9.3,Wind Lace,4.0,Smoke of Deceit,4.0,Tranquil Boots,7.0,Observer and Sentry Wards,7.0,Magic Wand,13.0,,
2,Team Secret,0,Secret.YapzOr,Lina,Off Lane,2,7,10,5.9,61,250,331,10.7,Boots of Speed,1.0,Clarity,10.0,Sentry Ward,13.0,Eul's Scepter of Divinity,21.0,Aether Lens,26.0,,
2,Team Secret,0,Secret.Nisha,Sven,Off Lane,2,2,11,11.9,187,462,508,11.2,Quelling Blade,2.0,Magic Wand,4.0,Hand of Midas,9.0,Phase Boots,11.0,Echo Sabre,16.0,Black King Bar,23.0
2,Team Secret,0,Secret.zai,Underlord,Safe Lane,6,5,5,8.0,100,339,384,17.8,Soul Ring,6.0,Wind Lace,10.0,Phase Boots,11.0,Eul's Scepter of Divinity,16.0,Force Staff,23.0,Dust of Appearance,26.0
2,Team Secret,0,Secret.MidOne,Gyrocopter,Mid Lane,5,7,6,8.2,120,382,357,17.4,Wraith Band,1.0,Wraith Band,2.0,Phase Boots,10.0,Magic Wand,12.0,Black King Bar,22.0,Javelin,26.0
3,Team Secret,0,Secret.Puppey,Spirit Breaker,Jungle,-,6,1,2.9,27,151,214,8.0,Tranquil Boots,13.0,Magic Wand,16.0,Chainmail,26.0,,,,,,
3,Team Secret,0,Secret.YapzOr,Winter Wyvern,Safe Lane,1,2,-,6.6,73,269,289,31.8,Sentry Ward,0.0,Clarity,7.0,Smoke of Deceit,7.0,Aether Lens,16.0,Spirit Vessel,27.0,Tranquil Boots,29.0
3,Team Secret,0,Secret.Nisha,Lifestealer,Safe Lane,-,3,-,12.4,220,428,455,9.4,Quelling Blade,0.0,Phase Boots,6.0,Hand of Midas,13.0,Magic Wand,18.0,Armlet of Mordiggian,18.0,Desolator,24.0
3,Team Secret,0,Secret.zai,Bristleback,Off Lane,-,6,1,9.9,187,364,353,25.0,Bottle,2.0,Bracer,3.0,Boots of Speed,5.0,Magic Wand,11.0,Pipe of Insight,15.0,Lotus Orb,25.0
3,Team Secret,0,Secret.MidOne,Ember Spirit,Mid Lane,-,3,-,10.5,223,405,449,30.7,Bottle,3.0,Magic Wand,6.0,Phase Boots,12.0,Maelstrom,17.0,Drum of Endurance,22.0,,
4,Team Secret,1,Secret.Puppey,Spirit Breaker,Safe Lane,2,10,23,7.1,52,277,515,12.7,Wind Lace,4.0,Observer and Sentry Wards,9.0,Magic Wand,12.0,Tranquil Boots,13.0,Bracer,28.0,Black King Bar,52.0
4,Team Secret,1,Secret.YapzOr,Enigma,Roaming,6,3,13,26.9,372,585,546,21.4,Guardian Greaves,17.0,Blink Dagger,22.0,Linken's Sphere,31.0,Shadow Blade,38.0,Gem of True Sight,44.0,Octarine Core,50.0
4,Team Secret,1,Secret.Nisha,Juggernaut,Off Lane,4,2,11,30.7,516,622,653,23.5,Mjollnir,25.0,Manta Style,30.0,Linken's Sphere,37.0,Skull Basher,42.0,Butterfly,46.0,Boots of Travel,51.0
4,Team Secret,1,Secret.zai,Phoenix,Safe Lane,8,7,17,23.6,154,442,533,27.0,Spirit Vessel,16.0,Tranquil Boots,18.0,Veil of Discord,27.0,Shiva's Guard,34.0,Aeon Disk,43.0,Boots of Travel,50.0
4,Team Secret,1,Secret.MidOne,Monkey King,Roaming,10,7,13,24.7,435,644,617,46.4,Echo Sabre,17.0,Maelstrom,24.0,Black King Bar,30.0,Aghanim's Scepter,36.0,Diffusal Blade,44.0,Butterfly,51.0
5,Team Secret,0,Secret.Puppey,Treant Protector,Off Lane,1,7,11,6.7,25,211,331,3.1,Observer Ward,2.0,Tranquil Boots,18.0,Magic Wand,18.0,Quelling Blade,19.0,Medallion of Courage,28.0,Blink Dagger,36.0
5,Team Secret,0,Secret.YapzOr,Skywrath Mage,Roaming,8,7,12,27.1,250,534,649,67.1,Rod of Atos,18.0,Aghanim's Scepter,34.0,Scythe of Vyse,43.0,Linken's Sphere,53.0,Boots of Travel,56.0,,
5,Team Secret,0,Secret.Nisha,Lifestealer,Safe Lane,3,5,10,33.7,632,701,743,29.5,Phase Boots,9.0,Radiance,17.0,Armlet of Mordiggian,19.0,Assault Cuirass,27.0,Abyssal Blade,36.0,Black King Bar,48.0
5,Team Secret,0,Secret.zai,Undying,Off Lane,4,8,14,14.3,190,344,408,18.6,Boots of Speed,3.0,Buckler,7.0,Aghanim's Scepter,19.0,Heaven's Halberd,30.0,Force Staff,36.0,Cheese,57.0
5,Team Secret,0,Secret.MidOne,Templar Assassin,Mid Lane,7,6,6,34.6,697,763,789,32.2,Desolator,13.0,Black King Bar,20.0,Blink Dagger,22.0,Daedalus,28.0,Scythe of Vyse,35.0,Hurricane Pike,55.0
6,Team Secret,1,Secret.Puppey,Bane,Safe Lane,3,12,39,7.8,33,274,552,19.6,Sentry Ward,2.0,Tranquil Boots,8.0,Magic Wand,13.0,Aether Lens,30.0,Ghost Scepter,53.0,Gem of True Sight,62.0
6,Team Secret,1,Secret.YapzOr,Tusk,Roaming,10,11,35,26.8,150,429,556,27.8,Phase Boots,17.0,Sentry Ward,23.0,Shadow Blade,24.0,Black King Bar,35.0,Vladmir's Offering,49.0,Assault Cuirass,55.0
